,variable,label,type
1848,m2a6c,"When child was born, were you and father living together...",Ordered Categorical
1849,m2a7,What is your relationship with father now?,Ordered Categorical
1850,m2a7a,Are you and father currently living together?,Ordered Categorical
1851,m2a7a1,Int Chk: Are mother and father married and living together all/most of the time?,Unordered Categorical
1852,m2a7a2,How many nights a week do you and father usually spend the night together?,Ordered Categorical
1855,m2a8a,Int chk: Were mother and father ever married to each other?,Unordered Categorical
1857,m2a8a1b,When did you and father get married? (Year),Continuous
1858,m2a8b,Int Chk: Were mother and father living together at birth or at follow-up?,Unordered Categorical
1860,m2a8b1b,When did you and father start living together? (Year),Continuous
1861,m2a8c,Int Chk: Are mother and father divorced or separated from each other?,Unordered Categorical
1864,m2a8d,Int Chk: Are mother and father currently romantically involved?,Unordered Categorical
1865,m2a8d1,What are the chances that you will marry the father in the future?,Ordered Categorical
1866,m2a8e,"Int Chk: Were mother & father rom. involved at birth, but not in a rel. now?",Unordered Categorical
1877,m2a10,Int Chk: Do mom & dad live together all/most of the time or 7 nights/week?,Unordered Categorical
1878,m2a11,How often do you and father see or talk to each other?,Ordered Categorical
1879,m2a12,"Including child, how many biological children do you have with father?",Ordered Categorical
1880,cm2age,Constructed - Mother's age,Continuous
1881,cm2b_age,Constructed - Baby's age at time of mother's one-year interview (months),Ordered Categorical
1882,cm2relf,Constructed - Mother's romantic relationship w/ childÃƒÂ•s father at one-year,Ordered Categorical
1883,cm2marf,Constructed - Is mother married to child's father at one-year?,Unordered Categorical
1884,cm2amrf,Constructed - How old was the mother when she married father?,Continuous
1885,cm2cohf,Constructed - Is mother cohabiting with baby's father - not including marrieds?,Unordered Categorical
1886,cm2alvf,Constructed - How old was the mother when she started living with the father?,Continuous
1887,m2b1,Int chk: Does baby live with mother at least some of the time?,Unordered Categorical
1888,m2b2,How is the child's health?,Ordered Categorical
1889,m2b3,Does child have any physical disabilities?,Unordered Categorical
1899,m2b5b,When was child last weighed at doctor's office? (Year),Continuous
1900,m2b5c1,How much did child weigh on that day?-(Pounds),Continuous
1901,m2b5c2,How much did child weigh on that day?-(Ounces),Continuous
1902,m2b6,Times since birth has child been to health care professional for well visit?,Ordered Categorical
1903,m2b7,Times since birth has child been to health care professional for illness?,Continuous
1905,m2b7a,Times since birth has child been to health care professional for injury?,Continuous
1906,m2b8,How many times since birth has child been to emergency room?,Continuous
1907,m2b8a,How many visits to emergency room for accident or injury?,Continuous
1908,m2b9,"Since leaving the hospital at birth, has child stayed overnight in a hospital?",Unordered Categorical
1912,m2b11,Has a health care professional ever told you child has asthma?,Unordered Categorical
1915,m2b12,Was child ever breastfed?,Unordered Categorical
1917,m2b13b,How old was child when breastfeeding ended? (months),Continuous
1918,m2b14,Does child walk or crawl yet?,Unordered Categorical
1919,m2b15,Since birth how many times have you and child been separated for a week or more?,Continuous
1929,m2b17a,On a scale of 1-(least like) to 5-(most like) - Child tends to be shy,Ordered Categorical
1930,m2b17b,On a scale of 1-(least like) to 5-(most like) - Child often fusses and cries,Ordered Categorical
1931,m2b17c,On a scale of 1-(least like) to 5-(most like) - Child is very sociable,Ordered Categorical
1932,m2b17d,On a scale of 1-(least like) to 5-(most like) - Child gets upset easily,Ordered Categorical
1933,m2b17e,On a scale of 1-(least like) to 5-(most like) - Child reacts strongly when upset,Ordered Categorical
1934,m2b17f,Scale of 1(least like) to 5(most like) - Child is very friendly with strangers,Ordered Categorical
1935,m2b18a,# Days/week mom play games like peek-a-boo or gotcha w/child?,Ordered Categorical
1936,m2b18b,# Days/week mom sing songs or nursery rhymes to child?,Ordered Categorical
1937,m2b18c,# Days/week mom read stories to child?,Ordered Categorical
1938,m2b18d,# Days/week mom tell stories to child?,Ordered Categorical
1939,m2b18e,# Days/week mom play inside w/toys such as blocks or legos w/child?,Ordered Categorical
1940,m2b18f,# Days/week mom take child to visit relatives?,Ordered Categorical
1941,m2b18g,# Days/week mom hug or show physical affection to child?,Ordered Categorical
1942,m2b18h,# Days/week mom put child to bed?,Ordered Categorical
1943,m2b19,Have you spanked child in past month?,Unordered Categorical
1944,m2b19a,How often did you spank the child in past month?,Ordered Categorical
1945,m2b20a,How much do you agree/disagree-Being a parent is harder than I thought,Ordered Categorical
1946,m2b20b,How much do you agree/disagree-Feel trapped by parental responsibilities,Ordered Categorical
1947,m2b20c,How much do you agree/disagree-Taking care of children more work than pleasure,Ordered Categorical
1948,m2b20d,How much do you agree/disagree-Often feel tired and worn out from raising family,Ordered Categorical
1952,m2b21,Is child currently being cared for by someone other than parents on reg basis?,Unordered Categorical
1953,m2b21a,How many hours in total is child in care?,Continuous
1954,m2b22,Int Chk: Is child in care less than 10 hours a week?,Unordered Categorical
1955,m2b23,How many different care arrangements are you currently using?,Ordered Categorical
1957,m2b24a2,How old was child when first taken care of by someone else?-(Months),Ordered Categorical
1958,m2b25a1,What care arrangement are you using now?-Child's father(not live-in),Unordered Categorical
1959,m2b25a2,What care arrangement are you using now?-Mother's partner/boyfriend,Unordered Categorical
1960,m2b25a3,What care arrangement are you using now?-Child's sibling,Unordered Categorical
1961,m2b25a4,What care arrangement are you using now?-Child's maternal grandparent,Unordered Categorical
1962,m2b25a5,What care arrangement are you using now?-Other relative on mother's side,Unordered Categorical
1963,m2b25a6,What care arrangement are you using now?-Child's paternal grandparent,Unordered Categorical
1964,m2b25a7,What care arrangement are you using now?-Other relative on father's side,Unordered Categorical
1966,m2b25a9,What care arrangement are you using now?-Mother's partner's relative,Unordered Categorical
1967,m2b25a10,What care arrangement are you using now?-Non-relative/family child care,Unordered Categorical
1968,m2b25a11,What care arrangement are you using now?-Day care center,Unordered Categorical
1970,m2b25a13,What care arrangement are you using now?-Other,Unordered Categorical
1972,m2b26,Where does main provider usually take care of child?,Unordered Categorical
1973,m2b27,How old was child when you first started using primary arrangement (months)?,Ordered Categorical
1974,m2b28,# days per week primary caregiver (m2b25b) usually take care of child?,Ordered Categorical
1975,m2b28a,# hours each day primary caregiver arrangement usually takes care of child?,Continuous
1976,m2b28b,How many times have child care arrangements been changed since child was born?,Ordered Categorical
1977,m2b29,Does any person/agency provide money/voucher/scholarship for child care?,Unordered Categorical
1999,m2b32,How much out-of-pocket for all child care you currently use? -($),Continuous
2000,m2b32p,Per what time period?,Ordered Categorical
2001,m2b33,"Does this amount cover only this child, or others in household also?",Unordered Categorical
2003,m2b34,Int Chk: Did you receive any financial help from a non-family source?,Unordered Categorical
2004,m2b34a,Are you eligible for subsidies/vouchers for child care?,Unordered Categorical
2005,m2b35,# time in past mon made special day care arrang - reg care fell through?,Continuous
2007,m2b35b,Since child's birth did you have to quit school/job due to lack of care?,Unordered Categorical
2008,m2b36,"When child is sick, who can care for him/her?",Unordered Categorical
2036,m2c1,Int Chk: Are mother and father currently living together?,Unordered Categorical
2037,m2c1a,Int chk: Is father deceased?,Unordered Categorical
2038,m2c1b,Int Chk: Is father known?,Unordered Categorical
2039,m2c2,"Since child was born, has father seen child?",Unordered Categorical
2040,m2c2a,"During the past 30 days, how many days has father seen child?",Continuous
2043,m2c2e,"Since birth, has child ever stayed over night with father?",Unordered Categorical
2045,m2c2g,Int Chk: Did father see child more than once during the past month?,Unordered Categorical
2046,m2c3a,How many days a week does father-Play games like Peek-a-boo or Gotcha w/child?,Ordered Categorical
2047,m2c3b,How many days a week does father-Sing songs or nursery rhymes to child?,Ordered Categorical
2048,m2c3c,How many days a week does father-Read stories to child?,Ordered Categorical
2049,m2c3d,How many days a week does father-Tell stories to child?,Ordered Categorical
2050,m2c3e,How many days a week does father-Play inside w/child (Blocks or Legos)?,Ordered Categorical
2051,m2c3f,How many days a week does father-Take child to visit relatives?,Ordered Categorical
2052,m2c3g,How many days a week does father-Change child's diaper?,Ordered Categorical
2053,m2c3h,How many days a week does father-Feed or give a bottle to child?,Ordered Categorical
2054,m2c3i,How many days a week does father-Hug or show physical affection to child?,Ordered Categorical
2055,m2c3j,How many days a week does father-Put child to bed?,Ordered Categorical
2057,m2c4,In past month has father spanked child because he/she were misbehaving?,Unordered Categorical
2059,m2c5,"In past month, how often has father spent 1+ hours with child?",Ordered Categorical
2060,m2c5a,How often do you think father should spend 1+ hours with child?,Ordered Categorical
2061,m2c5b,Have you ever asked father to spend more time with child?,Unordered Categorical
2063,m2c6a,How often(1=Very 4=Never)does father-Watch child when mother needs to do things?,Ordered Categorical
2064,m2c6b,How often(1=Very 4=Never)does father-Run errands for mother?,Ordered Categorical
2065,m2c6c,How often(1=Very 4=Never)does father-Fix/paint/maintain or improve around home?,Ordered Categorical
2066,m2c6d,"How often(1=Very 4=Never)does father-Take child to daycare, doctor, etc?",Ordered Categorical
2067,m2c7,"Int Chk: When child was born, were mother and father married to each other?",Unordered Categorical
2068,m2c8a,Has father's legal paternity been established?,Unordered Categorical
2071,m2c8d,Did you establish paternity at the hospital or through some other means?,Unordered Categorical
2072,m2c8e,Who initiated the action to make him the child's legal father?,Unordered Categorical
2073,m2c9,Int Chk: Are mother and father married and living together?,Unordered Categorical
2074,m2c10,Do you have legal agreement requiring father to provide financial support?,Unordered Categorical
2092,m2c19,Int Chk: Do mother and father live together all or most of the time?,Unordered Categorical
2093,m2c19a,Do you have informal financial support agreement with father?,Unordered Categorical
2103,m2c23a,"How often does father (1-Often, 4-Never) buy-clothes for child?",Ordered Categorical
2104,m2c23b,"How often does father (1-Often, 4-Never) buy-toys for child?",Ordered Categorical
2105,m2c23c,"How often does father (1-Often, 4-Never) buy-medicine for child?",Ordered Categorical
2106,m2c23d,"How often does father (1-Often, 4-Never) buy-child care items/diapers/wipes?",Ordered Categorical
2107,m2c23e,"How often does father (1-Often, 4-Never) buy-food or formula for child?",Ordered Categorical
2108,m2c23f,"How often does father (1-Often, 4-Never) buy-something else for child?",Ordered Categorical
2109,m2c24,Do you have any children by someone other than the father?,Unordered Categorical
2110,m2c24a,How many children do you have with someone other than the father?,Ordered Categorical
2113,m2c25,Do you receive any child support for other children?,Unordered Categorical
2116,m2c26,Does father have any other children by someone else?,Unordered Categorical
2117,m2c27,How many other children does father have?,Ordered Categorical
2118,m2c27a,Does father have a legal obligation to pay child support for other children?,Unordered Categorical
2126,m2c30,Int Chk: Are parents married to each other or romantically involved?,Unordered Categorical
2127,m2c30a,Is father living with or married to another woman?,Unordered Categorical
2128,m2c31,Int Chk: Is father living with mother?,Unordered Categorical
2129,m2c33,Is father currently working/in school/unemployed/in jail?,Unordered Categorical
2133,m2c34,Does father have physical/mental health conditions that limit work he can do?,Unordered Categorical
2134,m2c35,Does father have problems keeping job/getting along because of drugs/alcohol?,Unordered Categorical
2135,m2c36,Has father ever spent any time in jail/prison?,Unordered Categorical
2159,m2c38,How much money does father normally earn per year?-($ Amount),Continuous
2160,m2c38a,How much money does father earn per year?-($ Range),Ordered Categorical
2161,cm2finst,Constructed - does father live in the same state as mother at one-year?,Unordered Categorical
2163,cm2finjail,"Constructed - mother report, father in jail at her 1 yr interview",Unordered Categorical
2164,cm2fevjail,"Constructed - mother reports, dad ever in jail by her 1yr interview",Unordered Categorical
2165,m2d1,Int Chk: Were parents in any kind of rel. at baseline or follow-up?,Unordered Categorical
2167,m2d2,Int Chk: Does father have any contact with child?,Unordered Categorical
2168,m2d2a,"How often-When w/child, father acts like father you want for child?",Ordered Categorical
2169,m2d2b,How often-Can you trust father to take good care of child?,Ordered Categorical
2170,m2d2c,How often-Does father respect schedules/rules you make for child?,Ordered Categorical
2171,m2d2d,How often-Does father support you in the way you want to raise child?,Ordered Categorical
2172,m2d2e,How often-You & father talk about problems that come up raising child?,Ordered Categorical
2173,m2d2f,How often-Can count on father to watch child for a few hours?,Ordered Categorical
2174,m2d3,How much would you trust father to watch child for a week?,Ordered Categorical
2175,m2d3a,Could you trust anyone else to look after child?,Unordered Categorical
2176,m2d3b1,Who would you trust to look after child?-Maternal grandparent,Unordered Categorical
2177,m2d3b2,Who would you trust to look after child?-Other maternal relative,Unordered Categorical
2178,m2d3b3,Who would you trust to look after child?-Paternal grandparent,Unordered Categorical
2179,m2d3b4,Who would you trust to look after child?-Other paternal relative,Unordered Categorical
2180,m2d3b5,Who would you trust to look after child?-Child's sibling,Unordered Categorical
2181,m2d3b6,Who would you trust to look after child?-Friend,Unordered Categorical
2182,m2d3b7,Who would you trust to look after child?-Other,Unordered Categorical
2183,m2d4,How is your relationship with child's father?,Ordered Categorical
2184,m2d4a,How often do you & child's father argue about things that are important to you?,Ordered Categorical
2185,m2d5,Int Chk: Are parents currently married or romantically involved?,Unordered Categorical
2198,m2d7,Int Chk: Were parents married/rom. involved when child was born?,Unordered Categorical
2217,m2e1,Int Chk: Are mother and father currently living together?,Ordered Categorical
2218,m2e2,Is mother currently in romantic relationship w/other than father?,Unordered Categorical
2267,cm2marp,Constructed - Mother married to partner other than father at one-year,Unordered Categorical
2268,cm2cohp,Constructed - Mother cohabiting with partner other than father at one-year,Unordered Categorical
2269,m2f1,"Not counting yourself, how many people currently live with you?",Ordered Categorical
2270,m2f2b1,Is first person male or female?,Unordered Categorical
2271,m2f2b2,Is second person male or female?,Unordered Categorical
2272,m2f2b3,Is third person male or female?,Unordered Categorical
2273,m2f2b4,Is fourth person male or female?,Unordered Categorical
2274,m2f2b5,Is fifth person male or female?,Unordered Categorical
2280,m2f2c1,What is first person's age? (Years),Continuous
2281,m2f2c2,What is second person's age? (Years),Continuous
2282,m2f2c3,What is third person's age? (Years),Continuous
2283,m2f2c4,What is fourth person's age? (Years),Continuous
2290,m2f2d1,What is first person's relationship to you?,Unordered Categorical
2291,m2f2d2,What is second person's relationship to you?,Unordered Categorical
2292,m2f2d3,What is third person's relationship to you?,Unordered Categorical
2293,m2f2d4,What is fourth person's relationship to you?,Unordered Categorical
2294,m2f2d5,What is fifth person's relationship to you?,Unordered Categorical
2300,m2f2e1,Is first person working?,Unordered Categorical
2301,m2f2e2,Is second person working?,Unordered Categorical
2310,m2f3,Int Chk: Is child mother's only biological child?,Unordered Categorical
2311,m2f4,Do you have other biological children not living with you now?,Unordered Categorical
2323,m2f5,"Since focal child's birth, any miscarriages/abortions/stillbirths?",Unordered Categorical
2325,m2f6,"Since child born, have you had another baby/are you pregnant now?",Unordered Categorical
2326,cm2adult,Constructed - # of adults in HH,Ordered Categorical
2327,cm2kids,Constructed - # of children in HH,Ordered Categorical
2328,cm2gdad,Constructed - Baby's grandfather in the HH,Unordered Categorical
2329,cm2gmom,Constructed - Baby's grandmother in the HH,Unordered Categorical
2330,cm2biok,Constructed - # of biological children mother has,Ordered Categorical
2331,cm2fbir,Constructed - Mother's age at her first birth (year),Continuous
2332,m2g1a,In what country/territory was your father born?,Unordered Categorical
2333,m2g1b,In what country/territory was your mother born?,Unordered Categorical
2334,m2g1c,Int Chk: Were both parents born in the U.S.?,Unordered Categorical
2337,m2g2,What is the highest grade of school that your bio. mother completed?,Ordered Categorical
2338,m2g2c1,What year of high school did she complete?,Ordered Categorical
2339,m2g3,What is the highest grade of school that your bio. father completed?,Ordered Categorical
2340,m2g3c1,What grade of HS did your bio. father complete?,Ordered Categorical
2341,m2g4a,Agree/disagree: I feel an attachment to my own race/ethnic heritage.,Ordered Categorical
2342,m2g4b,Agree/disagree: I participate in cultural practices of my own group.,Ordered Categorical
2343,m2g4c,How often do you go to a religious service?,Ordered Categorical
2344,m2g5,Have you received any financial support from other than father since birth?,Unordered Categorical
2345,m2g5a1,Who gave you financial help/money?-Respondent's Parents,Unordered Categorical
2346,m2g5a2,Who gave you financial help/money?-Other maternal relatives,Unordered Categorical
2347,m2g5a3,Who gave you financial help/money?-Father's Parents,Unordered Categorical
2348,m2g5a4,Who gave you financial help/money?-Other paternal relatives,Unordered Categorical
2349,m2g5a5,Who gave you financial help/money?-Friends,Unordered Categorical
2350,m2g5a6,Who gave you financial help/money?-Boyfriend/partner,Unordered Categorical
2351,m2g5a7,Who gave you financial help/money?-Partner's Family,Unordered Categorical
2352,m2g5a8,Who gave you financial help/money?-Other,Unordered Categorical
2353,m2g5b,How much financial help given since child was born?-($ Amount),Continuous
2355,m2g6a,Could you count on someone to loan $200 in the next year?,Unordered Categorical
2356,m2g6a1,Could you count on someone to loan $1000 in the next year?,Unordered Categorical
2357,m2g6b,Could you count on someone to provide a place to live in the next year?,Unordered Categorical
2358,m2g6c,Could you count on someone to help w/emergency child care?,Unordered Categorical
2359,m2g6d,Could you count on someone to co-sign for a loan for $1000?,Unordered Categorical
2360,m2g6d1,Could you count on someone to co-sign for a loan for $5000?,Unordered Categorical
2361,m2g7,Was your bio. father involved in your life while growing up?,Ordered Categorical
2362,m2g7a,Did you know your biological father while growing up?,Unordered Categorical
2363,m2g8,Was there another man who was like a father to you while growing up?,Unordered Categorical
2364,m2g8a,Who was this person?,Unordered Categorical
2365,m2g9a,Int Chk: Did respondent know her biological father?,Unordered Categorical
2367,m2g10a,How well do you get along with father now?,Ordered Categorical
2369,m2g10c,How well do you get along with mother now?,Ordered Categorical
2370,m2g10d,Int Chk: Are respondent's parents either deceased or unknown?,Unordered Categorical
2371,m2g11,How well does child's father get along with respondent's parents?,Ordered Categorical
2372,m2g12,How well do you get along with child's father's parents?,Ordered Categorical
2373,m2g12a,Int Chk: Are respondent's parents both deceased?,Unordered Categorical
2374,m2g13,How often does child see your parents?,Ordered Categorical
2375,m2g13a,Are child's father parents both deceased?,Unordered Categorical
2376,m2g14,How often does child see father's parents?,Ordered Categorical
2377,m2h1,Have you moved since child was born?,Unordered Categorical
2378,m2h1a,How many times have you moved since child's birth?,Ordered Categorical
2379,m2h2,What is current living situation?,Unordered Categorical
2384,m2h4,How much rent do you pay each month?,Continuous
2385,m2h5,Is this home in a public housing project?,Unordered Categorical
2386,m2h6,"Int Chk: Does respondent live w/family/friends, but pay no rent?",Unordered Categorical
2387,m2h7,"Is fed, state, or local gov helping to pay your rent?",Unordered Categorical
2388,m2h8a,"Since child's birth, have you received help from - Child supp. collection agency",Unordered Categorical
2389,m2h8b,"Since child's birth, have you received help from-Visiting nurse/healthy start?",Unordered Categorical
2390,m2h8c,"Since child's birth, have you received help from-Head start/Early Head Start?",Unordered Categorical
2391,m2h8d,"Since child's birth, have you received help from-Child care referral agency?",Unordered Categorical
2392,m2h8e,"Since child's birth, have you received help from-WIC Program?",Unordered Categorical
2393,m2h8f,"Since child's birth, have you received help from-Employment agency?",Unordered Categorical
2394,m2h8g,What other kinds of local/state/federal agencies have helped you since child's b,Unordered Categorical
2395,m2h9a1,In past year have you received help from Welfare or TANF?,Unordered Categorical
2396,m2h9a2,"In past year, have you received help from food stamps?",Unordered Categorical
2397,m2h9a3,"In past year, have you received other help?(unemployment/wrkms comp/etc)",Unordered Categorical
2398,m2h9b1,How many months did you receive help from welfare/TANF?,Ordered Categorical
2399,m2h9b2,How many months did you receive help from food stamps?,Ordered Categorical
2401,m2h9c1,How much money did you receive last month from welfare/TANF?,Continuous
2402,m2h9c2,How much money did you receive last month from food stamps?,Continuous
2404,m2h10a,Int Chk: Did mother receive welfare/TANF in last year?,Unordered Categorical
2405,m2h10b,Is respondent currently receiving welfare or TANF?,Unordered Categorical
2408,m2h11,Have you ever received welfare/TANF?,Unordered Categorical
2410,m2h11a2,When did you last receive welfare/TANF?-(Year),Continuous
2411,m2h12,Do you or child receive SSI?,Unordered Categorical
2415,m2h13,Int Chk: Was respondent on welfare/TANF in the past 12 month?,Unordered Categorical
2416,m2h14,Were you required to do anything in return for welfare benefits?,Unordered Categorical
2425,m2h16,Was there time in last year you thought you might be eligible for welfare?,Unordered Categorical
2429,m2h17,Int Chk: Has respondent received food stamps in the past year?,Unordered Categorical
2430,m2h18,Was there a time in past year you thought you might be eligible for food stam,Unordered Categorical
2433,m2h18c,Did you fill out a federal tax return for previous full year?,Unordered Categorical
2434,m2h18c1,Did you apply for Earned Income Credit?,Unordered Categorical
2435,m2h19a,"In past year, did you-Receive free food/meals?",Unordered Categorical
2436,m2h19b,"In past year, did your-Children go hungry?",Unordered Categorical
2437,m2h19c,"In past year, did you-Go hungry?",Unordered Categorical
2438,m2h19d,"In past year, did you-Not pay full amount of rent/mortgage?",Unordered Categorical
2439,m2h19e,"In past year, did you-Get evicted for not paying rent/mortgage?",Unordered Categorical
2440,m2h19f,"In past year, did you-Not pay full gas/oil/electric bill?",Unordered Categorical
2441,m2h19g,"In past 12 months, did your-Gas/electric/oil get shut-off or withheld?",Unordered Categorical
2442,m2h19h,"In past year, did your-Telephone service get disconnected for nonpayment?",Unordered Categorical
2443,m2h19i,"In past year, did you-Borrow money from family/friends to pay bills?",Unordered Categorical
2444,m2h19j,"In past year, did you-Move in w/people because of financial problems?",Unordered Categorical
2445,m2h19k,In past year did you stay in place not meant for regular housing?,Unordered Categorical
2446,m2h19l,"In past year, did-Anyone in house need med but couldn't go because of cost?",Unordered Categorical
2447,m2j1,"In general, how is your health?",Ordered Categorical
2448,m2j2,Do you have a serious health problem that limits the work you can do?,Unordered Categorical
2449,m2j3,Are you/children covered by Medicaid or other assistance programs or HMO?,Unordered Categorical
2450,m2j3a,Who is covered by this program?,Unordered Categorical
2451,m2j4,Are you/children currently covered by private health plan?,Unordered Categorical
2452,m2j4a,Who is covered by private insurance?,Unordered Categorical
2453,m2j4b1,How did you get private plan?-Purchased by self,Unordered Categorical
2454,m2j4b2,How did you get private plan?-Purchased by other,Unordered Categorical
2455,m2j4b3,How did you get private plan?-Through respondent's employer,Unordered Categorical
2456,m2j4b4,How did you get private plan?-Through child's father's employer,Unordered Categorical
2457,m2j4b5,How did you get private plan? Through partner's employer?,Unordered Categorical
2458,m2j4b6,How did you get private plan?-Other,Unordered Categorical
2459,m2j5,"In past month, did you smoke cigarettes?",Unordered Categorical
2460,m2j5a,How many packs per day do you usually smoke?,Ordered Categorical
2461,m2j6,"In past month, did you drink alcoholic beverages?",Unordered Categorical
2462,m2j6a,How many days in past month did you have 5 or more alc. beverages?,Continuous
2467,m2j9,"Since child's birth, has drinking/drugs interfered w/how you manage daily?",Unordered Categorical
2468,m2j10,"Since child's birth,has drinking/drugs interfered w/your personal relationships?",Unordered Categorical
2469,m2j11,"Since child's birth, have you sought help/been treated for drug/alcohol problem?",Unordered Categorical
2470,m2j12,"During past year, have you ever been depressed/sad/blue for 2+ wks in row?",Unordered Categorical
2477,m2j14,During past year did have you ever lost interest in hobbies/work for 2 wks or,Unordered Categorical
2489,m2j16,"During past year, was there a month or longer period when you felt tense/anxious",Unordered Categorical
2490,m2j16a,"During past year, did you worry a lot more than most people would?",Unordered Categorical
2491,m2j16b,Is that period of time still going on?,Unordered Categorical
2498,m2j17,Int Chk: Did worry last 6 months or more?,Unordered Categorical
2513,cm2gad_case,Constructed - Mother meets anxious criteria at one-year (CIDI),Unordered Categorical
2514,cm2md_case_con,Constructed - Mother meets depression criteria (conservative) at one-year (CIDI),Unordered Categorical
2515,cm2md_case_lib,Constructed - Mother meets depression criteria (liberal) at one-year (CIDI),Unordered Categorical
2516,m2k1,Are you currently attending any school/training?,Unordered Categorical
2532,m2k3,Have you completed any training/schooling since child was born?,Unordered Categorical
2550,m2k4,Have you ever served in the military?,Unordered Categorical
2551,m2k5,Did you do any regular work for pay last week?,Unordered Categorical
2552,m2k6,Are you currently looking for a regular job?,Unordered Categorical
2554,m2k6b,Why aren't you looking for a regular job?,Unordered Categorical
2555,m2k6c,What would the hourly wage have to be for you to take a job?,Continuous
2557,m2k7b,When did you last work at regular job lasting 2 consecutive weeks?-(Year),Continuous
2558,m2k8,Int Chk: Has mother worked since child's birth?,Unordered Categorical
2559,m2k8a,How old was child when you went back to work after child was born?-(Months),Ordered Categorical
2560,m2k8b,Were you working full/part-time when returned to work after child born?,Unordered Categorical
2561,m2k8c,Int Chk: Has respondent ever worked for two consecutive weeks?,Unordered Categorical
2562,m2k9,How many hours per week do you usually work at current job?,Continuous
2563,m2k9a,Did/do you work for yourself or someone else?,Unordered Categorical
2564,m2k10a,"About how much (do/did) you usually earn in (this/that) job, before taxes?",Continuous
2565,m2k10ap,You earn this money over what time-span?,Ordered Categorical
2566,m2k10bc,What do/did you do at this/that job? - broad categories,Unordered Categorical
2567,m2k11a,Do/did you sometimes work-Evenings (6pm-11pm)?,Unordered Categorical
2568,m2k11b,Do/did you sometimes work-Nights (11pm-7am)?,Unordered Categorical
2569,m2k11c,Do/did you sometimes work-Weekends?,Unordered Categorical
2570,m2k11d,Do/did you sometimes work-Different times each week?,Unordered Categorical
2571,m2k12,Int Chk: Has mother worked since child's birth?,Unordered Categorical
2572,m2k13a,Always/sometimes/never-my work schedule causes extra stress,Ordered Categorical
2573,m2k13b,It's difficult to deal w/ childcare problems during working hours,Ordered Categorical
2574,m2k13c,Always/sometimes/never-My schedule allows me to handle family needs,Ordered Categorical
2575,m2k14,"During past year, have you worked more than one regular job at a time?",Unordered Categorical
2579,m2k16,"In past year, how many weeks did you work?",Continuous
2580,m2k17a,"In past year, did you-Work off the books/under the table?",Unordered Categorical
2592,m2k18a,In the past year did you work in your own business?,Unordered Categorical
2615,m2k20a,"In past year, did you-Do anything else to earn money?",Unordered Categorical
2628,m2l1,"What was your total household income before taxes last year, all sources?",Continuous
2629,m2l1a,"What was total household income before taxes last year, all sources?-($ Range)",Ordered Categorical
2630,m2l2,"In past year, have you given any money to friends/relatives?",Unordered Categorical
2631,m2l2a,"In past year, how much money did you give to friends/relatives?",Continuous
2632,m2l3,Int Chk: Is mother living father or living with a current partner?,Unordered Categorical
2633,m2l4,Do you or husband/partner have a bank account?,Unordered Categorical
2634,m2l4a,Is/are the account(s) in his/yours/both names?,Unordered Categorical
2635,m2l5,Do you or husband/partner have a credit card?,Unordered Categorical
2636,m2l5a,Is/are the credit card(s) in his/yours/both names?,Unordered Categorical
2637,m2l6,Do you or husband/partner own car/truck/van?,Unordered Categorical
2638,m2l6a,Can you rely on car/truck/van to get you to school/work/other places?,Unordered Categorical
2639,m2l6b,How much do you owe on your car/truck/van?,Continuous
2640,m2l6c,About how much could you get if you sold car/truck/van?,Continuous
2641,m2l7,Int Chk: Are father & mother currently married/rom. or mother married/rom. w/ano,Unordered Categorical
2642,m2l8,How do you and husband/partner keep money - separate or together?,Ordered Categorical
2643,m2l9,How do you & husband/partner split expenses?,Unordered Categorical
2644,m2l9a,How do you and husband/partner spilt expenses for child?,Unordered Categorical
2645,m2l10,Int Chk: Is mother living with father or with a current partner?,Unordered Categorical
2646,m2l11,Do you have a bank account?,Unordered Categorical
2647,m2l12,Do you have a credit card?,Unordered Categorical
2648,m2l13,Do you own a car/truck/van?,Unordered Categorical
2652,cm2hhinc,Constructed - Household income (with imputed values),Continuous
2653,cm2hhimp,Constructed - Flag variable for household income imputation,Unordered Categorical
2654,cm2povco,Constructed - Poverty ratio - mother's household income/poverty threshold,Continuous
2655,cm2povca,Constructed - Poverty categories,Ordered Categorical
2656,cm2tele,Constructed - Was the interview conducted by phone?,Unordered Categorical
2657,cm2span,Constructed - Was the interview conducted in Spanish?,Unordered Categorical
2724,m2citywt_rep1,Mother one-year city replicate weight no. 1,Continuous
2725,m2citywt_rep2,Mother one-year city replicate weight no. 2,Continuous
2726,m2citywt_rep3,Mother one-year city replicate weight no. 3,Continuous
2727,m2citywt_rep4,Mother one-year city replicate weight no. 4,Continuous
2728,m2citywt_rep5,Mother one-year city replicate weight no. 5,Continuous
2729,m2citywt_rep6,Mother one-year city replicate weight no. 6,Continuous
2730,m2citywt_rep7,Mother one-year city replicate weight no. 7,Continuous
2731,m2citywt_rep8,Mother one-year city replicate weight no. 8,Continuous
2732,m2citywt_rep9,Mother one-year city replicate weight no. 9,Continuous
2733,m2citywt_rep10,Mother one-year city replicate weight no. 10,Continuous
2737,cf3fint,Constructed - Was father interviewed at three-year?,Unordered Categorical
2738,cf3mint,Constructed - Was mother interviewed at three-year?,Unordered Categorical
2739,cf3new30,Constructed - Was father interviewed at three-year but not baseline and one-year,Unordered Categorical
